role,latitude,longitude,height,date_time,person_id
Cycle Courier,51.512247,-0.017572,-86.38,2012-12-10 10:55:01,7
Cycle Courier,51.512417,-0.018202,-93.11,2012-12-10 10:55:16,7
Cycle Courier,51.512301,-0.017599,-98.88,2012-12-10 10:55:24,7
Cycle Courier,51.512381,-0.017098,-110.41,2012-12-10 10:55:40,7
Cycle Courier,51.512498,-0.017348,-123.87,2012-12-10 10:55:55,7
Cycle Courier,51.512432,-0.017243,-135.89,2012-12-10 10:56:08,7
Cycle Courier,51.512467,-0.017313,-151.27,2012-12-10 10:56:24,7
Cycle Courier,51.512498,-0.017442,-153.67,2012-12-10 10:56:27,7
Cycle Courier,51.512575,-0.017568,-157.04,2012-12-10 10:56:31,7
Cycle Courier,51.512861,-0.018622,-171.46,2012-12-10 10:56:48,7
Cycle Courier,51.512985,-0.019016,-178.19,2012-12-10 10:56:57,7
Cycle Courier,51.511654,-0.014345,-174.82,2012-12-10 10:57:05,7
Cycle Courier,51.51189,-0.014234,-168.57,2012-12-10 10:57:36,7
Cycle Courier,51.511858,-0.014434,-169.54,2012-12-10 10:57:43,7
Cycle Courier,51.512216,-0.015396,-172.42,2012-12-10 10:58:01,7
Cycle Courier,51.512484,-0.016082,-180.11,2012-12-10 10:58:23,7
Cycle Courier,51.512548,-0.016452,-189.72,2012-12-10 10:58:42,7
Cycle Courier,51.512479,-0.017083,-202.7,2012-12-10 10:59:01,7
Cycle Courier,51.511944,-0.015649,-106.09,2012-12-10 10:59:21,7
Cycle Courier,51.511559,-0.014333,11.67,2012-12-10 10:59:37,7
Cycle Courier,51.511543,-0.014349,11.67,2012-12-10 11:00:08,7
Cycle Courier,51.511538,-0.014342,11.67,2012-12-10 11:01:28,7
Cycle Courier,51.511311,-0.013771,12.15,2012-12-10 11:01:45,7
Cycle Courier,51.511299,-0.013669,12.63,2012-12-10 11:01:49,7
Cycle Courier,51.511284,-0.013642,14.08,2012-12-10 11:02:10,7
Cycle Courier,51.51128,-0.01364,14.56,2012-12-10 11:04:02,7
Cycle Courier,51.511241,-0.013572,14.56,2012-12-10 11:04:15,7
Cycle Courier,51.51124,-0.01357,14.56,2012-12-10 11:04:17,7
Cycle Courier,51.511271,-0.01289,15.04,2012-12-10 11:04:29,7
Cycle Courier,51.511332,-0.012048,12.63,2012-12-10 11:04:39,7
Cycle Courier,51.511432,-0.010883,11.19,2012-12-10 11:04:54,7
